script_id,outcome,question,gold,predicted,agree,confidence,confidence_band
script_01,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5409,low
script_01,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5482,low
script_01,HUMAN_REVIEW,has_subquery,False,False,True,0.7573,medium
script_01,HUMAN_REVIEW,has_window_function,False,False,True,0.8628,high
script_01,HUMAN_REVIEW,multi_source,False,False,True,0.6665,medium
script_01,HUMAN_REVIEW,needs_human_review,False,True,False,0.7868,medium
script_02,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5502,low
script_02,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5343,low
script_02,HUMAN_REVIEW,has_subquery,False,False,True,0.7413,medium
script_02,HUMAN_REVIEW,has_window_function,False,False,True,0.8559,high
script_02,HUMAN_REVIEW,multi_source,False,False,True,0.6733,medium
script_02,HUMAN_REVIEW,needs_human_review,False,True,False,0.7706,medium
script_03,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5486,low
script_03,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5403,low
script_03,HUMAN_REVIEW,has_subquery,False,False,True,0.7629,medium
script_03,HUMAN_REVIEW,has_window_function,False,False,True,0.8626,high
script_03,HUMAN_REVIEW,multi_source,False,False,True,0.6878,medium
script_03,HUMAN_REVIEW,needs_human_review,False,True,False,0.7712,medium
script_04,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5438,low
script_04,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5316,low
script_04,HUMAN_REVIEW,has_subquery,False,False,True,0.7655,medium
script_04,HUMAN_REVIEW,has_window_function,False,False,True,0.8737,high
script_04,HUMAN_REVIEW,multi_source,False,False,True,0.6841,medium
script_04,HUMAN_REVIEW,needs_human_review,False,True,False,0.766,medium
script_05,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5211,low
script_05,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5199,low
script_05,HUMAN_REVIEW,has_subquery,False,False,True,0.7711,medium
script_05,HUMAN_REVIEW,has_window_function,False,False,True,0.8755,high
script_05,HUMAN_REVIEW,multi_source,True,True,True,0.8795,high
